;experiment_id;best_experiment_index;dino_model;normalization;scaler;dim_red;reduction_parameters;clustering;penalty;penalty_range;classification_lvl;lvlm;prompt;eval_method;best_score;homogeneity_global;entropy_global;quality_metric;homogeneity_global_w_noise;entropy_global_w_noise;quality_metric_w_noise
49;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7254218459129333;0.8905745642349903;0.37958582953989095;2.3461682411755;0.9013028030003948;0.4529208700671846;1.989974127031444
50;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7254218459129333;0.8166559070367979;0.6079496511623808;1.3432930871533402;0.7120015791551519;1.1856806253084233;0.6004998002477637
51;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7254218459129333;0.8624919302775984;0.48444720817886544;1.7803594186463658;0.731741018555073;1.1329511927396057;0.6458710466728884
52;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7254218459129333;0.8221433182698515;0.661620177688704;1.2426194112194426;0.6204105803395183;1.4995177820370986;0.41373978623774865
53;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7254218459129333;0.829244673983215;0.6425320558502453;1.2905867899448373;0.6308724832214765;1.4518896057813158;0.4345179180231563
54;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-5_7b;1;silhouette;0.5489469766616821;0.8584682195025661;0.5127103209428329;1.674369541760684;0.8584682195025661;0.5127103209428329;1.674369541760684
55;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-5_7b;2;silhouette;0.5489469766616821;0.9009080142123964;0.3576085620666567;2.5192503494760343;0.9009080142123964;0.3576085620666567;2.5192503494760343
56;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_7b;1;silhouette;0.5489469766616821;0.8006316620607975;0.6987248529700092;1.1458451961633116;0.8006316620607975;0.6987248529700092;1.1458451961633116
57;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_7b;2;silhouette;0.5489469766616821;0.8395183576786419;0.5876471397134265;1.428607190159817;0.8395183576786419;0.5876471397134265;1.428607190159817
58;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_13b;1;silhouette;0.5489469766616821;0.7741808132649033;0.8437727720221309;0.917521780049591;0.7741808132649033;0.8437727720221309;0.917521780049591
59;10;45;small;False;minmax;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_13b;2;silhouette;0.5489469766616821;0.7879984208448481;0.811863793011953;0.9706030211279854;0.7879984208448481;0.811863793011953;0.9706030211279854
60;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7250986099243164;0.861003861003861;0.5151157927777984;1.6714730971220053;0.8586656138965654;0.7051477730158254;1.2177084421832989
61;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7250986099243164;0.8941441441441441;0.3728795880238027;2.3979369612211263;0.8989340702724042;0.46916824501173904;1.916012355519834
62;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7250986099243164;0.8040540540540541;0.6585037294720593;1.2210300367906022;0.7074615080931701;1.20496498951641;0.5871215571628675
63;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7250986099243164;0.861969111969112;0.5103912305289148;1.6888366640610128;0.7325305961310699;1.143714498652247;0.6404832294344907
64;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7250986099243164;0.8159588159588159;0.7035734000322036;1.1597335206077257;0.6152783260955389;1.5103355622401005;0.4073782900302504
65;11;0;small;True;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7250986099243164;0.8166023166023166;0.6847694154904416;1.1925198550195182;0.6308724832214765;1.4430850488643157;0.4371689988396482
66;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7301323413848877;0.8691000629326621;0.47592694032729205;1.8261169166386588;0.8610343466245559;0.7024375925613051;1.2257788164584784
67;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7301323413848877;0.8986784140969163;0.3525316536711587;2.5492061649846502;0.9036715357283853;0.45529467242832833;1.9848015047202967
68;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7301323413848877;0.81686595342983;0.6228110922686174;1.311576900272382;0.7143703118831425;1.174610027980107;0.608176064132135
69;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7301323413848877;0.855254877281309;0.5134800320401562;1.665601694931595;0.7301618634030793;1.1160258948325237;0.6542511356884916
70;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7301323413848877;0.8149779735682819;0.6738518574219322;1.209430166529641;0.6273193841294907;1.459310516511477;0.42987352394032663
71;12;0;small;False;minmax;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7301323413848877;0.8212712397734424;0.6559342128319481;1.252061520264584;0.6320568495854718;1.4112845220255419;0.44785894825755374
72;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.725958526134491;0.8691709844559585;0.4857153751724711;1.7894619759264407;0.8572838531385709;0.7399355409435242;1.1585910489640263
73;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.725958526134491;0.9073834196891192;0.33214374970058563;2.731891503650402;0.9018949861823924;0.48533684966826873;1.8582828163903617
74;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.725958526134491;0.8060233160621761;0.6446318896172303;1.2503602112836287;0.7187129885511252;1.1843184108398042;0.606857391657107
75;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.725958526134491;0.8639896373056994;0.49514426370556147;1.7449215424980247;0.7416107382550335;1.134991250514872;0.6534059927885967
76;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.725958526134491;0.8286917098445595;0.6450034764258852;1.2847844319415063;0.6225819186735096;1.5045445809090783;0.4138006362674187
77;13;136;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.725958526134491;0.8238341968911918;0.6437492930077037;1.2797418592884944;0.6383734701934465;1.451781386108208;0.43971705146852885
78;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-5_7b;1;silhouette;0.5747920274734497;0.8594551914725622;0.5443469366264058;1.57887103751882;0.8594551914725622;0.5443469366264058;1.57887103751882
79;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-5_7b;2;silhouette;0.5747920274734497;0.9007106198183972;0.37118267054401033;2.4265900989079263;0.9007106198183972;0.37118267054401033;2.4265900989079263
80;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-6_7b;1;silhouette;0.5747920274734497;0.7923410975128307;0.7361380933075572;1.076346990285153;0.7923410975128307;0.7361380933075572;1.076346990285153
