;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
20;minmax;umap;11;4;{'n_clusters': 4, 'linkage': 'complete', 'metric': 'manhattan'};"[[10.652487    2.401822    8.212281    7.0629277   3.2515042   5.500624
   8.932163    5.117853    7.014064    2.7097428   6.604736  ]
 [ 9.080348   -0.34765363 10.249609    7.2474656   3.654874    6.1332507
   6.9893613   4.8438735   4.5836945   3.0251198   5.1532526 ]
 [ 7.098668   -0.1650723   7.4598923   8.877963    5.3775463   7.677422
   7.490191    3.393406    5.404851    4.2890334   5.377881  ]
 [ 9.4323225   0.6113219   8.210372    8.153769    3.7532594   6.7264423
   7.630509    4.404606    5.552157    3.5528963   6.001068  ]]";0.48662465810775757;0.48662466
21;minmax;umap;12;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'manhattan'};"[[11.230817    1.068468    7.4250894   7.150831    6.755226    5.3381996
   8.938028    3.574415    4.376412    1.9865086   2.767633    5.0898604 ]
 [ 9.746842   -1.7974131   8.732323    8.687264    4.965051    6.151933
   8.984249    5.282417    2.4571052   3.29744     4.311837    5.869998  ]
 [ 7.5487785  -0.08057012  7.0642133   8.9613285   4.544505    7.6362906
   8.25502     5.832509    4.26427     3.1978517   5.1236715   3.0987177 ]
 [ 9.865264   -0.19759579  7.5182652   8.384405    5.5591636   6.803163
   8.73232     4.592403    4.1075788   2.6857915   3.8091533   4.0831184 ]
 [ 8.847849   -0.07119604  8.036563    8.254773    4.6545477   5.9035125
   8.1007      5.4262414   2.8813992   2.8275127   4.5680723   5.953077  ]]";0.4978407919406891;0.4978408
22;minmax;umap;13;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'};"[[11.022286   -0.08291441  9.337341    7.985207    4.969156    6.188162
   8.893736    5.6695347   3.564545    2.0361254   4.313316    3.2731812
   6.8495746 ]
 [11.647267    2.2132761   8.825466    7.0439487   6.5163493   5.241746
   7.3486857   3.8528953   4.3127217   1.0168871   3.0601223   3.880787
   6.020973  ]
 [ 8.100862   -0.45432767  6.70439     8.2921915   3.805345    6.3734527
   7.472336    5.1787386   3.9365478   2.3592231   3.9234807   3.8313925
   6.4863095 ]
 [ 9.4554405   3.225004    9.381265    5.955429    7.34175     5.8423676
   6.539466    5.148888    3.138099    0.2317355   1.893001    3.9982288
   5.150599  ]]";0.5121298432350159;0.51212984
23;minmax;umap;14;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'cosine'};"[[10.678226    1.5437338   7.943372    7.738112    6.312376    5.738329
   8.060114    4.0306315   2.6913636   1.1560764   2.9285443   4.2673225
   8.282155    5.024708  ]
 [ 6.8477645  -0.04011991  6.6797314   9.326238    5.6850114   6.698839
   7.7520547   5.2433796   4.263167    2.7927568   3.7372837   4.368678
   6.156145    4.6095347 ]
 [ 9.086126   -0.65063995  9.387549    8.692087    7.5133348   5.5113053
   8.9752035   5.573704    3.888697    2.100246    5.1783695   5.5154037
   6.287053    4.7157106 ]
 [ 9.141142   -0.13076891  7.513458    8.4946375   6.1890826   6.136592
   8.121677    4.847602    3.848016    2.1534889   3.9702575   4.6132116
   6.7327275   4.913654  ]]";0.47906556725502014;0.47906557
24;robust;umap;3;4;{'n_clusters': 4, 'linkage': 'ward', 'metric': 'cosine'};"[[12.618569    2.1995122   9.541778  ]
 [10.323613    0.20485312 13.242794  ]
 [ 6.5360622  -0.3218012  10.703569  ]
 [10.245557   -0.3095695  10.358114  ]]";0.46466052532196045;0.46466053
25;robust;umap;4;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'manhattan'};"[[10.333638    0.65420896 12.528689    8.343442  ]
 [11.489808   -0.54800695  8.516407    9.77013   ]
 [ 7.0255427   0.33563942 10.84563     6.0161333 ]
 [ 8.705478   -1.8595405   7.9798822  10.200514  ]]";0.4895552396774292;0.48955524
26;robust;umap;5;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'};"[[10.284721   -2.0355353   9.787808    8.819354    6.5944247 ]
 [ 9.728134   -0.48372796  5.837059    7.4779806   7.4743114 ]
 [ 7.681607   -2.2392025  10.220651    8.8906      3.0184295 ]
 [ 7.131617   -2.6611938   6.421022    5.5102034   8.763552  ]]";0.5413827896118164;0.5413828
27;robust;umap;6;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'};"[[10.033886   -0.2586339   7.3407717   9.401959    3.1890728   2.2351527 ]
 [10.797386    0.72974557  6.3372      7.929158    6.6939116   3.6306024 ]
 [ 6.2224913  -0.21251592  8.176705    7.905472    3.1907034   3.357045  ]
 [ 8.0894985   1.7132404   4.513342    8.811602    7.3442054   3.9744806 ]]";0.5119994878768921;0.5119995
28;robust;umap;7;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'manhattan'};"[[10.209035    0.53140837  7.6785975   7.367838    8.343912    4.43371
  -0.3446282 ]
 [10.44947    -1.9305149   7.9682465  10.10076     6.2932405   2.4466102
   1.489246  ]
 [ 7.107726   -1.2486447   8.195004    7.6324573   5.8577175   3.1725087
   3.9402838 ]
 [ 9.265141   -1.3945235   7.557655    7.688844    7.0133185   2.584061
   1.252922  ]
 [10.110361   -0.09690421  8.571118    9.634646    5.3709598   3.211046
   2.6973052 ]]";0.5045612454414368;0.50456125
29;robust;umap;8;4;{'n_clusters': 4, 'linkage': 'single', 'metric': 'cosine'};"[[10.444166  -0.6547393  8.262438  10.196036   5.2438984  3.2923422
   9.487515   3.392029 ]
 [10.449833   1.9412465  7.63979    9.561973   6.659452   2.5187163
   9.134609   6.50623  ]
 [ 6.8516483 -0.6327332  9.692768   8.588988   4.248273   1.7941822
   7.960153   3.7520614]
 [ 7.819782   2.406068   5.456618   9.240169   8.406318   1.6490769
   8.263485   6.580735 ]]";0.5400336980819702;0.5400337
